,Date,Open,High,Low,Close
524,2021-06-09,0.7,0.7,0.7,0.7
523,2021-06-08,0.6702,0.7,0.6702,0.7
522,2021-06-07,0.6701,0.7,0.65,0.6701
521,2021-06-04,0.6701,0.6702,0.6701,0.6701
520,2021-06-03,0.5801,0.6701,0.58,0.6701
519,2021-06-02,0.6351,0.6364,0.5602,0.5602
518,2021-06-01,0.63,0.63,0.63,0.63
517,2021-05-28,0.701,0.701,0.61,0.6101
516,2021-05-27,0.69,0.72,0.64,0.64
515,2021-05-26,0.6999,0.6999,0.6999,0.6999
514,2021-05-25,0.6999,0.6999,0.6999,0.6999
513,2021-05-24,0.6995,0.75,0.6995,0.75
512,2021-05-21,0.65,0.7,0.6141,0.7
511,2021-05-20,0.69,0.69,0.69,0.69
510,2021-05-19,0.56,0.56,0.56,0.56
509,2021-05-18,0.56,0.5802,0.56,0.56
508,2021-05-17,0.601,0.601,0.55,0.5551
507,2021-05-14,0.679,0.679,0.61,0.6109
506,2021-05-13,0.63,0.63,0.63,0.63
505,2021-05-12,0.6505,0.6505,0.6505,0.6505
504,2021-05-11,0.64,0.6505,0.64,0.6505
503,2021-05-10,0.631,0.631,0.63,0.63
502,2021-05-07,0.71,0.71,0.63,0.659
501,2021-05-06,0.68,0.68,0.68,0.68
500,2021-05-05,0.68,0.68,0.68,0.68
499,2021-05-04,0.7,0.7,0.68,0.68
498,2021-05-03,0.7399,0.7399,0.6501,0.7
497,2021-04-30,0.74,0.74,0.74,0.74
496,2021-04-29,0.74,0.74,0.74,0.74
495,2021-04-28,0.68,0.74,0.68,0.74
494,2021-04-27,0.66,0.66,0.66,0.66
493,2021-04-26,0.66,0.66,0.66,0.66
492,2021-04-23,0.61,0.65,0.61,0.65
491,2021-04-22,0.61,0.61,0.61,0.61
490,2021-04-21,0.63,0.6301,0.63,0.6301
489,2021-04-20,0.62,0.62,0.62,0.62
488,2021-04-19,0.75,0.75,0.7183,0.7201
487,2021-04-16,0.64,0.7409,0.595,0.7409
486,2021-04-15,0.67,0.72,0.61,0.62
485,2021-04-14,0.65,0.65,0.6201,0.6201
484,2021-04-13,0.65,0.65,0.65,0.65
483,2021-04-12,0.735,0.74,0.72,0.74
482,2021-04-09,0.6822,0.6822,0.6822,0.6822
481,2021-04-08,0.68,0.6822,0.68,0.6822
480,2021-04-07,0.65,0.6501,0.65,0.6501
479,2021-04-06,0.66,0.6601,0.66,0.6601
478,2021-04-05,0.6301,0.6436,0.6301,0.6436
477,2021-04-01,0.75,0.75,0.65,0.7499
476,2021-03-31,0.62,0.62,0.62,0.62
475,2021-03-30,0.72,0.72,0.71,0.7101
474,2021-03-29,0.7813,0.7813,0.71,0.7113
473,2021-03-26,0.61,0.8069,0.61,0.78
472,2021-03-25,0.65,0.65,0.6,0.6099
471,2021-03-24,0.65,0.65,0.6,0.61
470,2021-03-23,0.62,0.62,0.62,0.62
469,2021-03-22,0.663,0.663,0.63,0.6301
468,2021-03-19,0.7397,0.74,0.66,0.7
467,2021-03-18,0.74,0.74,0.739,0.7397
466,2021-03-17,0.69,0.7051,0.65,0.6901
465,2021-03-16,0.6701,0.745,0.6701,0.745
464,2021-03-15,0.75,0.8679,0.7499,0.77
463,2021-03-12,0.7,0.75,0.7,0.725
462,2021-03-11,0.61,0.74,0.61,0.7
461,2021-03-10,0.66,0.66,0.66,0.66
460,2021-03-09,0.66,0.67,0.66,0.66
459,2021-03-08,0.6288,0.6288,0.6288,0.6288
458,2021-03-05,0.66,0.66,0.5825,0.5825
457,2021-03-04,0.66,0.661,0.65,0.6501
456,2021-03-03,0.6999,0.7,0.66,0.66
455,2021-03-02,0.65,0.66,0.65,0.66
454,2021-03-01,0.81,0.8101,0.645,0.645
453,2021-02-26,0.7025,0.85,0.6725,0.8022
452,2021-02-25,0.825,0.87,0.72,0.72
451,2021-02-24,0.8494,0.8494,0.7525,0.77
450,2021-02-23,0.83,0.85,0.6677,0.85
449,2021-02-22,0.83,0.89,0.83,0.8301
448,2021-02-19,0.8505,0.8601,0.83,0.86
447,2021-02-18,0.987,0.99,0.82,0.9798
446,2021-02-17,0.94,0.99,0.8162,0.8162
445,2021-02-16,0.93,0.9499,0.7554,0.85
444,2021-02-12,0.6701,0.77,0.6701,0.735
443,2021-02-11,0.88,0.88,0.65,0.66
442,2021-02-10,0.95,0.95,0.7187,0.78
441,2021-02-09,0.8,0.88,0.77,0.88
440,2021-02-08,0.85,0.85,0.67,0.735
439,2021-02-05,0.56,0.65,0.56,0.645
438,2021-02-04,0.5501,0.6,0.55,0.5746
437,2021-02-03,0.56,0.6,0.52,0.55
436,2021-02-02,0.53,0.55,0.53,0.55
435,2021-02-01,0.51,0.55,0.5,0.51
434,2021-01-29,0.59,0.6,0.5,0.53
433,2021-01-28,0.6,0.6,0.4437,0.55
432,2021-01-27,0.51,0.85,0.45,0.62
431,2021-01-26,0.85,0.85,0.6,0.69
430,2021-01-25,1.0,1.0,0.6,0.74
429,2021-01-22,0.525,2.45,0.4901,2.23
428,2021-01-21,0.44,0.4955,0.44,0.495
427,2021-01-20,0.42,0.4201,0.38,0.38
426,2021-01-19,0.38,0.44,0.38,0.4148
425,2021-01-15,0.41,0.41,0.3897,0.3897
424,2021-01-14,0.43,0.43,0.4,0.415
423,2021-01-13,0.44,0.44,0.4102,0.4103
422,2021-01-12,0.38,0.38,0.38,0.38
421,2021-01-11,0.44,0.44,0.37,0.38
420,2021-01-08,0.42,0.42,0.4078,0.4078
419,2021-01-07,0.4275,0.44,0.4275,0.4374
418,2021-01-06,0.335,0.44,0.3316,0.35
417,2021-01-05,0.38,0.38,0.38,0.38
416,2021-01-04,0.3725,0.38,0.37,0.38
415,2020-12-31,0.39,0.39,0.39,0.39
414,2020-12-30,0.37,0.39,0.37,0.39
413,2020-12-29,0.39,0.39,0.35,0.3618
412,2020-12-28,0.4375,0.4375,0.4,0.4
411,2020-12-24,0.4,0.41,0.39,0.39
